SPECTRUM - MS	
nESI_cells ctrl sample 2.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 47-74	
RT: 0.30-0.41	
AV: 28	
Data points: 101226	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.03178	0
50.031856	0
50.031931	0
50.032007	0
50.032083	308.434098
50.032158	528.199548
50.032234	614.54434
50.03231	514.94494
50.032386	311.997567
50.032461	3.429694
50.032537	0
50.032613	0
50.032688	0
50.032764	0
50.060102	0
50.060178	0
50.060254	0
50.06033	0
50.060406	347.447634
50.060481	487.205169
50.060557	546.273536
50.060633	489.440438
50.060709	339.446222
50.060784	3.607621
50.06086	0
50.060936	0
50.061012	0
50.061087	0
50.129192	0
50.129268	0
50.129344	0
50.12942	0
50.129496	293.716183
50.129572	495.775413
50.129648	588.423834
50.129723	510.478129
50.129799	323.691638
50.129875	3.146491
50.129951	0
50.130027	0
50.130103	0
50.130179	0
50.210447	0
50.210523	0
50.210599	0
50.210675	0
50.210751	280.696843
50.210827	476.593276
50.210903	558.638386
50.210979	478.502193
50.211056	288.084828
50.211132	2.330156
50.211208	0
50.211284	0
50.21136	0
50.211436	0
50.221864	0
50.22194	0
50.222016	0
50.222092	0
50.222169	363.789559
50.222245	560.29831
50.222321	602.19452
50.222397	467.882243
50.222473	251.447077
50.222549	1.6478
50.222625	0
50.222701	0
50.222778	0
50.222854	0
50.257663	0
50.25774	0
50.257816	0
50.257892	0
50.257968	362.930967
50.258045	490.951725
50.258121	531.803698
50.258197	456.324858
50.258273	295.660622
50.258349	5.057916
50.258426	0
50.258502	0
50.258578	0
50.258654	0
50.277941	0
50.278018	0
50.278094	0
50.27817	0
50.278246	362.971355
50.278323	490.868618
50.278399	543.761009
50.278475	491.287675
50.278551	349.935492
50.278628	6.038997
50.278704	0
50.27878	0
50.278857	0
50.278933	0
50.317313	0
50.317389	0
50.317465	0
50.317542	0
50.317618	348.434891
50.317694	567.519142
50.317771	672.274118
50.317847	577.476245
50.317923	340.916839
50.318	6.456899
50.318076	0
50.318152	0
50.318229	0
50.318305	0
50.370721	0
50.370797	0
50.370873	0
50.37095	0
50.371026	303.250158
50.371103	497.746753
50.371179	593.186263
50.371256	524.02212
50.371332	335.882497
50.371409	9.881117
50.371485	0
50.371562	0
50.371638	0
50.371715	0
50.422988	0
50.423065	0
50.423141	0
50.423218	0
50.423295	236.730714
50.423371	468.239051
50.423448	607.372062
50.423524	576.94982
50.423601	417.264457
50.423677	7.513945
50.423754	0
50.423831	0
50.423907	0
50.423984	0
50.446202	0
50.446278	0
50.446355	0
50.446432	0
