SPECTRUM - MS	
nESI_cells biocond sample 2.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 8-36	
RT: 0.06-0.17	
AV: 29	
Data points: 96530	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.012861	0
50.012937	0
50.013012	0
50.013088	0
50.013164	377.563151
50.013239	585.090358
50.013315	708.5736
50.013391	660.300431
50.013466	452.472101
50.013542	1.564715
50.013618	0
50.013693	0
50.013769	0
50.013845	0
50.043364	0
50.043439	0
50.043515	0
50.043591	0
50.043666	638.124804
50.043742	956.680035
50.043818	1516.481434
50.043894	1519.873966
50.043969	1226.723151
50.044045	600.625751
50.044121	443.221039
50.044196	7.213458
50.044272	0
50.044348	0
50.044424	0
50.044499	0
50.048059	0
50.048134	0
50.04821	0
50.048286	0
50.048362	530.347845
50.048437	782.381834
50.048513	904.014726
50.048589	793.881081
50.048665	507.914959
50.04874	1.86201
50.048816	0
50.048892	0
50.048967	0
50.049043	0
50.057981	0
50.058057	0
50.058133	0
50.058209	0
50.058284	341.222725
50.05836	602.450425
50.058436	712.163067
50.058512	588.861081
50.058587	334.85332
50.058663	1.207208
50.058739	0
50.058815	0
50.05889	0
50.058966	0
50.125169	0
50.125245	0
50.12532	0
50.125396	0
50.125472	363.624987
50.125548	627.859469
50.125624	738.206499
50.1257	626.147592
50.125776	366.319052
50.125852	1.19847
50.125928	0
50.126004	0
50.12608	0
50.126155	0
50.158965	0
50.159041	0
50.159117	0
50.159193	0
50.159269	421.277409
50.159345	635.830771
50.159421	745.288818
50.159497	655.161481
50.159573	409.452104
50.159649	6.672494
50.159725	0
50.159801	0
50.159877	0
50.159953	0
50.169833	0
50.169909	0
50.169985	0
50.170061	0
50.170137	278.393332
50.170213	554.724208
50.170289	709.513798
50.170365	654.518282
50.170441	449.078522
50.170517	7.323036
50.170593	0
50.170669	0
50.170745	0
50.170821	0
50.175686	0
50.175762	0
50.175838	0
50.175914	0
50.17599	414.427043
50.176066	711.630114
50.176142	825.509577
50.176218	693.272076
50.176294	434.198037
50.17637	7.083048
50.176446	0
50.176522	0
50.176598	528.1626
50.176674	807.846349
50.17675	943.392674
50.176826	835.535127
50.176902	555.626082
50.176978	9.060236
50.177054	0
50.177131	0
50.177207	0
50.177283	0
50.178651	0
50.178727	0
50.178803	0
50.178879	0
50.178955	503.190757
50.179031	737.537691
50.179107	800.742483
50.179183	658.706094
50.179259	420.416344
50.179335	1.917853
50.179411	0
50.179487	0
50.179563	0
50.179639	0
50.181312	0
50.181388	0
50.181464	0
50.18154	0
50.181616	340.182798
50.181692	587.216595
50.181768	705.275843
50.181844	602.832546
50.181921	354.059811
50.181997	5.769596
50.182073	0
50.182149	0
50.182225	0
50.182301	0
50.216764	0
50.21684	0
50.216916	0
50.216992	0
50.217068	454.233946
50.217144	704.479659
50.217221	849.355537
50.217297	813.891877
50.217373	630.385732
50.217449	398.384634
50.217525	4.929193
50.217601	0
50.217677	0
50.217753	0
50.21783	0
50.243339	0
50.243415	0
50.243492	0
50.243568	0
50.243644	477.656498
50.24372	739.390895
50.243796	800.258154
50.243872	636.242305
50.243949	369.029951
50.244025	6.018483
50.244101	0
50.244177	0
50.244253	0
50.244329	0
50.276493	0
50.276569	0
50.276645	0
50.276721	0
50.276798	431.765133
50.276874	690.674957
50.27695	850.3286
50.277026	811.046809
50.277103	615.79522
50.277179	10.072154
50.277255	0
50.277331	0
50.277408	0
50.277484	0
50.281221	0
50.281297	0
50.281373	0
50.281449	0
50.281526	478.279383
50.281602	840.911485
50.281678	1017.862238
50.281754	896.334854
50.281831	568.391382
50.281907	8.062606
50.281983	0
50.28206	0
50.282136	0
50.282212	0
50.316397	0
50.316473	0
50.316549	0
50.316626	0
50.316702	487.493255
50.316778	689.995615
50.316855	757.320351
50.316931	639.399433
50.317007	391.537981
50.317084	4.017692
50.31716	0
50.317236	0
50.317313	0
50.317389	0
50.337779	0
50.337856	0
50.337932	0
50.338009	0
50.338085	436.789067
50.338161	697.743986
50.338238	796.781051
50.338314	673.68993
50.338391	410.069789
50.338467	6.70748
50.338543	0
50.33862	0
50.338696	0
50.338773	0
50.381198	0
50.381275	0
50.381351	0
50.381428	0
50.381504	562.314998
50.381581	844.001187
50.381657	936.51382
50.381734	782.791467
50.38181	487.026364
50.381887	4.897457
50.381963	0
50.38204	0
50.382116	0
50.382193	0
50.392674	0
50.39275	0
50.392827	0
50.392903	0
50.39298	483.142866
50.393056	690.207304
50.393133	769.727591
50.393209	678.902855
50.393286	464.936476
50.393363	6.39104
50.393439	0
50.393516	0
50.393592	0
50.393669	0
50.4187	0
50.418776	0
50.418853	0
50.418929	0
50.419006	398.279194
50.419083	623.424934
50.419159	718.764345
50.419236	629.080621
50.419312	415.530242
50.419389	5.702232
50.419466	0
50.419542	0
50.419619	0
50.419695	0
50.466211	0
50.466287	0
50.466364	0
50.466441	0
50.466517	379.96789
50.466594	615.483124
50.466671	715.865092
50.466747	618.565019
50.466824	381.087272
50.466901	3.949337
50.466978	0
50.467054	0
50.467131	0
50.467208	0
50.477408	0
50.477485	0
50.477562	0
50.477639	0
50.477715	612.456936
50.477792	813.790893
50.477869	833.85529
50.477945	658.698709
50.478022	379.540594
50.478099	6.222471
50.478176	0
50.478252	0
50.478329	0
50.478406	0
50.478482	0
50.478559	0
50.478636	0
50.478713	0
50.478789	406.592566
50.478866	674.560355
50.478943	798.923033
50.479019	702.170122
50.479096	451.920658
50.479173	7.418098
50.47925	0
50.479326	0
50.479403	0
50.47948	0
50.577664	0
50.577741	0
50.577818	0
50.577895	0
50.577972	434.089515
50.578049	639.040448
50.578126	718.427497
50.578203	629.781524
50.57828	425.86919
50.578357	7.0178
50.578434	0
50.578511	0
50.578588	0
50.578665	0
50.584359	0
50.584436	0
50.584513	0
50.58459	0
50.584666	468.251405
50.584743	734.536492
50.58482	863.378979
50.584897	775.718617
50.584974	530.206925
50.585051	8.740713
50.585128	0
50.585205	0
50.585282	0
50.585359	0
50.63272	0
50.632798	0
50.632875	0
50.632952	0
50.633029	571.586992
50.633106	863.161535
50.633183	956.513957
50.63326	788.131094
50.633337	467.271309
50.633414	7.692113
50.633491	0
50.633568	0
50.633645	0
50.633722	0
50.636497	0
50.636574	0
50.636651	0
50.636728	0
50.636805	362.945013
50.636882	632.715505
50.636959	789.493233
50.637036	713.815161
50.637113	460.774627
50.637191	7.600651
50.637268	0
50.637345	0
50.637422	0
50.637499	0
50.637884	0
50.637961	0
50.638038	0
50.638115	0
50.638192	387.579854
50.63827	683.569137
50.638347	844.18334
50.638424	761.790449
50.638501	481.687617
50.638578	7.942422
50.638655	0
50.638732	0
50.638809	0
50.638886	0
50.661324	0
50.661401	0
50.661478	0
50.661555	0
50.661632	558.045693
50.661709	873.002295
50.661786	1008.973922
50.661863	874.430624
50.661941	556.072695
50.662018	9.177655
50.662095	0
50.662172	0
50.662249	0
50.662326	0
50.679377	0
50.679454	0
50.679531	0
50.679608	0
50.679685	470.383503
50.679763	742.199587
50.67984	822.66943
50.679917	693.931248
50.679994	454.523687
50.680071	7.511414
50.680148	0
50.680226	0
50.680303	0
50.68038	0
50.863855	0
50.863932	0
50.86401	0
50.864087	0
50.864165	493.597942
50.864242	762.442591
50.86432	874.127675
50.864398	744.256537
50.864475	452.097125
50.864553	23.973281
50.86463	0
50.864708	0
50.864786	0
50.864863	0
50.871459	0
50.871537	0
50.871615	0
50.871692	0
50.87177	368.203315
50.871848	606.090633
50.871925	702.811644
50.872003	597.41949
50.87208	362.986034
50.872158	8.19153
50.872236	0
50.872313	0
50.872391	0
50.872468	0
50.958494	0
50.958572	0
50.95865	0
50.958728	0
50.958806	571.568144
50.958883	812.650693
50.958961	945.785142
50.959039	850.300026
50.959117	558.406431
50.959195	11.780374
50.959272	0
50.95935	0
50.959428	0
50.959506	0
50.970012	0
50.97009	0
50.970168	0
50.970246	0
50.970323	476.741855
50.970401	845.589414
50.970479	1036.574207
50.970557	933.882402
50.970635	619.758372
50.970713	34.076153
50.97079	0
50.970868	0
50.970946	0
50.971024	0
50.972425	0
50.972503	0
50.972581	0
50.972659	0
50.972736	440.639418
50.972814	764.759832
50.972892	974.182256
50.97297	918.161907
50.973048	622.06475
50.973126	14.426833
50.973204	0
50.973281	0
50.973359	0
50.973437	0
50.975305	0
50.975383	0
50.975461	0
50.975539	0
50.975617	594.27168
50.975695	806.897533
50.975772	838.105141
50.97585	670.993523
50.975928	425.551885
50.976006	10.01954
50.976084	0
50.976162	0
50.97624	0
50.976317	0
51.045519	0
51.045597	0
51.045675	0
51.045753	0
51.045831	491.557982
51.045909	751.307223
51.045987	929.579436
51.046065	903.477522
51.046143	670.189194
51.046221	358.200384
51.046299	14.402239
51.046377	0
51.046455	0
51.046533	0
51.046611	0
51.048639	0
51.048717	0
51.048795	0
51.048873	0
51.048951	320.675565
51.049029	622.968565
51.049107	776.901462
51.049185	692.479241
51.049263	446.454551
51.049341	14.443779
51.049419	0
51.049497	0
51.049575	0
51.049654	0
51.07213	0
51.072208	0
51.072286	0
51.072364	0
51.072442	450.104332
51.072521	709.633063
51.072599	830.836346
51.072677	713.293681
51.072755	424.86832
51.072833	11.04839
51.072911	0
51.072989	0
51.073067	0
51.073145	0
51.076737	0
51.076815	0
51.076893	0
51.076971	0
51.077049	451.130955
51.077127	710.970494
51.077205	800.257506
51.077283	668.294539
51.077361	398.72349
51.077439	16.640083
51.077517	0
51.077596	0
51.077674	0
51.077752	0
51.091497	0
51.091575	0
51.091653	0
51.091731	0
51.091809	482.780393
51.091888	732.437026
51.091966	860.373376
51.092044	768.862985
51.092122	502.336908
51.0922	27.907052
51.092278	0
51.092356	0
51.092434	0
51.092513	0
51.120959	0
51.121037	0
51.121115	0
51.121193	0
51.121272	449.777512
51.12135	727.806149
51.121428	884.821031
51.121506	805.643755
51.121584	537.898751
51.121662	23.398369
51.121741	0
51.121819	0
51.121897	0
51.121975	0
51.167352	0
51.16743	0
51.167509	0
51.167587	0
51.167665	346.757716
51.167744	594.922418
51.167822	718.155174
51.1679	621.161825
51.167979	366.620269
51.168057	18.594209
51.168135	0
51.168213	0
51.168292	0
51.16837	0
51.211614	0
51.211692	0
51.211771	0
51.211849	0
51.211927	411.009483
51.212006	713.041152
51.212084	890.36805
51.212163	829.855435
51.212241	580.028852
51.212319	16.334955
51.212398	0
51.212476	0
51.212554	0
51.212633	0
51.216788	0
51.216866	0
51.216945	0
51.217023	0
51.217102	407.652376
51.21718	657.475211
51.217258	820.549711
51.217337	801.726491
51.217415	610.222928
51.217494	353.335873
51.217572	17.271234
51.21765	0
51.217729	0
51.217807	0
51.217886	0
51.304554	0
51.304632	0
51.304711	0
51.30479	0
51.304868	428.247639
51.304947	656.261824
51.305025	820.117991
51.305104	793.982692
51.305183	567.080763
51.305261	16.304801
51.30534	0
51.305418	0
51.305497	0
51.305576	0
51.328851	0
51.328929	0
51.329008	0
51.329087	0
51.329165	592.061336
51.329244	836.397206
51.329323	884.223365
51.329401	705.08851
51.32948	404.46472
51.329559	14.091843
51.329637	0
51.329716	0
51.329795	0
51.329873	0
51.353952	0
51.354031	0
51.35411	0
51.354188	0
51.354267	397.259034
51.354346	634.786772
51.354425	775.375514
51.354503	723.8911
51.354582	508.591762
51.354661	18.061721
51.354739	0
51.354818	0
51.354897	0
51.354976	0
51.363478	0
51.363557	0
51.363636	0
51.363715	0
51.363793	352.227867
51.363872	592.928039
51.363951	693.833255
51.36403	603.844269
51.364108	408.402526
51.364187	17.978257
51.364266	0
51.364344	0
51.364423	0
51.364502	0
51.372613	0
51.372692	0
51.372771	0
51.37285	0
51.372928	411.767039
51.373007	680.454561
51.373086	808.315874
51.373165	701.006283
51.373243	425.143041
51.373322	19.958419
51.373401	0
51.37348	0
51.373558	0
51.373637	0
51.381199	0
51.381278	0
51.381357	0
51.381436	0
51.381514	410.696081
51.381593	697.292613
51.381672	829.233412
51.381751	735.977254
51.381829	490.583248
51.381908	16.190477
51.381987	0
51.382066	0
51.382145	0
51.382223	0
51.419586	0
51.419665	0
51.419744	0
51.419823	0
51.419902	428.611643
51.419981	704.415302
51.42006	798.601105
51.420138	659.170245
51.420217	396.68476
51.420296	21.964183
51.420375	0
51.420454	0
51.420533	0
51.420612	0
51.451464	0
51.451543	0
51.451622	0
51.451701	0
51.45178	386.327612
51.451858	778.847697
51.451937	1079.186627
51.452016	1080.881928
51.452095	788.799681
51.452174	421.019315
51.452253	14.940291
51.452332	0
51.452411	0
51.45249	0
51.452569	0
51.461965	0
51.462044	0
51.462122	0
51.462201	0
51.46228	413.013506
51.462359	643.243685
51.462438	778.357632
51.462517	738.227399
51.462596	532.558507
51.462675	34.044597
51.462754	0
51.462833	0
51.462912	0
51.462991	0
51.520291	0
51.52037	0
51.520449	0
51.520528	0
51.520607	448.43885
51.520686	680.426527
51.520765	810.467609
51.520844	742.539305
51.520923	498.10521
51.521002	30.253629
51.521082	0
51.521161	0
51.52124	0
51.521319	0
51.531445	0
51.531525	0
51.531604	0
51.531683	0
51.531762	398.405575
51.531841	597.994415
51.53192	697.270555
51.531999	642.577474
51.532078	460.391903
51.532158	27.448573
51.532237	0
51.532316	0
51.532395	0
51.532474	0
51.540546	0
51.540625	0
51.540704	0
51.540783	0
51.540863	305.863304
51.540942	636.399024
51.541021	839.975563
51.5411	809.671357
51.541179	27.243532
51.541258	0
51.541338	0
51.541417	0
51.541496	0
51.574279	0
51.574358	0
51.574437	0
51.574517	0
51.574596	437.16672
51.574675	675.03751
