SPECTRUM - MS	
nESI_cells ctrl sample 1.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 19-59	
RT: 0.18-0.34	
AV: 41	
Data points: 127778	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.008171	0
50.008247	0
50.008322	0
50.008398	0
50.008474	549.191207
50.008549	934.703516
50.008625	1120.056675
50.0087	986.448267
50.008776	623.898726
50.008852	6.741981
50.008927	0
50.009003	0
50.009079	0
50.009154	0
50.10248	0
50.102556	0
50.102631	0
50.102707	0
50.102783	809.991914
50.102859	1198.942574
50.102935	1372.14938
50.103011	1161.391805
50.103087	651.120011
50.103162	7.137709
50.103238	0
50.103314	0
50.10339	0
50.103466	0
50.129648	0
50.129723	0
50.129799	0
50.129875	0
50.129951	733.049744
50.130027	1018.231147
50.130103	1093.172751
50.130179	901.710802
50.130255	563.441678
50.130331	16.666515
50.130407	0
50.130483	0
50.130559	0
50.130634	0
50.145139	0
50.145215	0
50.14529	0
50.145366	0
50.145442	728.520019
50.145518	1048.318352
50.145594	1121.262433
50.14567	926.275562
50.145746	624.11492
50.145822	9.76985
50.145898	0
50.145974	0
50.14605	0
50.146126	0
50.147417	0
50.147493	0
50.147569	0
50.147645	0
50.147721	568.144836
50.147797	984.394467
50.147873	1265.61241
50.147949	1217.86444
50.148025	859.537016
50.148101	6.654808
50.148177	0
50.148253	0
50.148329	0
50.148405	0
50.185266	0
50.185342	0
50.185418	0
50.185494	0
50.185571	552.774681
50.185647	875.204872
50.185723	1031.247411
50.185799	910.33368
50.185875	588.269266
50.185951	4.578859
50.186027	0
50.186103	0
50.186179	0
50.186255	0
50.225823	0
50.225899	0
50.225975	0
50.226051	0
50.226128	517.731251
50.226204	884.039864
50.22628	1116.164366
50.226356	1054.252609
50.226432	750.507382
50.226508	5.645488
50.226584	0
50.22666	0
50.226737	0
50.226813	0
50.267877	0
50.267953	0
50.26803	0
50.268106	0
50.268182	852.730353
50.268258	1138.079194
50.268335	1155.681326
50.268411	909.552688
50.268487	565.135094
50.268563	18.166658
50.26864	0
50.268716	0
50.268792	0
50.268868	0
50.274434	0
50.27451	0
50.274586	0
50.274663	0
50.274739	672.823628
50.274815	967.563241
50.274891	1085.00331
50.274968	947.921977
50.275044	624.995308
50.27512	10.121765
50.275196	0
50.275273	0
50.275349	0
50.275425	0
50.328919	0
50.328996	0
50.329072	0
50.329148	0
50.329225	523.52077
50.329301	939.520442
50.329377	1268.15867
50.329454	1262.828683
50.32953	880.16587
50.329606	8.879832
50.329683	0
50.329759	0
50.329836	0
50.329912	0
50.336099	0
50.336175	0
50.336252	0
50.336328	0
50.336404	533.681618
50.336481	923.999495
50.336557	1167.742356
50.336634	1122.504239
50.33671	818.218288
50.336786	6.615981
50.336863	0
50.336939	0
50.337016	0
50.337092	0
50.344885	0
50.344961	0
50.345037	0
50.345114	0
50.34519	507.21129
50.345267	886.503389
50.345343	1166.50546
50.34542	1187.080109
50.345496	938.692197
50.345572	566.128554
50.345649	4.543197
50.345725	0
50.345802	0
50.345878	0
50.345954	0
50.447658	0
50.447735	0
50.447811	0
50.447888	0
50.447965	557.641887
50.448041	927.132933
50.448118	1105.41009
50.448195	969.621517
50.448271	604.573223
50.448348	9.781628
50.448424	0
50.448501	0
50.448578	0
50.448654	0
50.459693	0
50.45977	0
50.459846	0
50.459923	0
50.46	801.491629
50.460076	1573.867558
50.460153	1556.163333
50.46023	1189.374701
50.460306	697.653725
50.460383	34.476177
50.46046	0
50.460536	0
50.460613	0
50.46069	0
50.470352	0
50.470429	0
50.470505	0
50.470582	0
50.470659	651.889871
50.470735	968.257373
50.470812	1083.618479
50.470889	897.89266
50.470965	534.700536
50.471042	23.43436
50.471119	0
50.471195	0
50.471272	0
50.471349	0
50.502732	0
50.502809	0
50.502886	0
50.502963	0
50.503039	558.276356
50.503116	929.911031
50.503193	1158.132933
50.50327	1072.826489
50.503346	729.127204
50.503423	9.741316
50.5035	0
50.503577	0
50.503654	0
50.50373	0
50.503961	0
50.504037	0
50.504114	0
50.504191	0
50.504268	604.364969
50.504344	1010.616514
50.504421	1304.359463
50.504498	1300.673712
50.504575	1001.91948
50.504652	1252.34229
50.504728	1099.540016
50.504805	1284.41284
50.504882	1147.424644
50.504959	778.885626
50.505035	38.614898
50.505112	0
50.505189	0
50.505266	0
50.505343	0
50.526385	0
50.526462	0
50.526539	0
50.526616	0
50.526692	755.679139
50.526769	1113.554226
50.526846	1193.54119
50.526923	957.950462
50.527	581.453382
50.527077	17.687686
50.527153	0
50.52723	0
50.527307	0
50.527384	0
50.548671	0
50.548748	0
50.548825	0
50.548901	0
50.548978	588.728387
50.549055	993.945273
50.549132	1207.78977
50.549209	1106.271621
50.549286	774.825227
50.549363	13.826294
50.54944	0
50.549516	0
50.549593	0
50.54967	0
50.587822	0
50.587899	0
50.587976	0
50.588053	0
50.58813	595.176915
50.588207	1041.73006
50.588283	1214.75661
50.58836	1024.987609
50.588437	662.489438
50.588514	14.323145
50.588591	0
50.588668	0
50.588745	0
50.588822	0
50.591362	0
50.591439	0
50.591516	0
50.591593	0
50.59167	554.361954
50.591747	863.448261
50.591824	1032.657181
50.591901	903.975369
50.591978	541.22998
50.592055	19.858535
50.592132	0
50.592209	0
50.592286	0
50.592363	0
50.607607	0
50.607684	0
50.607761	0
50.607838	0
50.607915	588.314093
50.607992	1135.474126
50.608069	1510.450303
50.608146	1456.016819
50.608223	1003.1853
50.6083	454.491343
50.608377	13.433188
50.608454	0
50.608531	0
50.608608	0
50.608685	0
50.628097	0
50.628174	0
50.628251	0
50.628328	0
50.628405	463.845649
50.628482	870.73781
50.628559	1160.228172
50.628636	1112.959281
50.628713	740.517376
50.62879	20.889873
50.628867	0
50.628944	0
50.629022	0
50.629099	0
50.649679	0
50.649756	0
50.649833	0
50.64991	0
50.649987	596.035897
50.650064	939.543012
50.650141	1115.226542
50.650219	975.403194
50.650296	608.220951
50.650373	18.391663
50.65045	0
50.650527	0
50.650604	0
50.650681	0
50.672895	0
50.672972	0
50.673049	0
50.673126	0
50.673204	422.729432
50.673281	847.226358
50.673358	1125.264233
50.673435	1100.437466
50.673512	806.242393
50.673589	19.681666
50.673666	0
50.673744	0
50.673821	0
50.673898	0
50.720225	0
50.720302	0
50.720379	0
50.720457	0
50.720534	579.528231
50.720611	895.714448
50.720688	1071.823643
50.720766	987.605984
50.720843	708.608585
50.72092	12.057971
50.720997	0
50.721075	0
50.721152	0
50.721229	0
50.725479	0
50.725556	0
50.725634	0
50.725711	0
50.725788	74.211855
50.725866	1272.110834
50.725943	1322.827256
50.72602	1637.384906
50.726097	1452.100235
50.726175	1167.276138
50.726252	951.864887
50.726329	538.188736
50.726406	13.983455
50.726484	0
50.726561	0
50.726638	0
50.726716	0
50.737536	0
50.737614	0
50.737691	0
50.737768	0
50.737846	453.994656
50.737923	849.307978
50.738	1002.282514
50.738078	829.939277
50.738155	489.934194
50.738232	14.639878
50.738309	0
50.738387	0
50.738464	0
50.738541	0
50.742562	0
50.742639	0
50.742716	0
50.742793	0
50.742871	511.905323
50.742948	906.18001
50.743025	1167.204133
50.743103	1150.95659
50.74318	877.518297
50.743257	41.229839
50.743335	0
50.743412	0
50.743489	0
50.743567	0
50.770793	0
50.770871	0
