SPECTRUM - MS	
nESI_cells biocond sample 3.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 10-45	
RT: 0.08-0.22	
AV: 36	
Data points: 99286	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.007112	0
50.007188	0
50.007263	0
50.007339	0
50.007415	490.54051
50.00749	678.245924
50.007566	734.201558
50.007641	624.041429
50.007717	407.930594
50.007793	1.898879
50.007868	0
50.007944	0
50.00802	0
50.008095	0
50.033748	0
50.033824	0
50.033899	0
50.033975	0
50.034051	368.125179
50.034127	705.538285
50.034202	974.045966
50.034278	1014.16771
50.034354	807.872247
50.034429	494.758767
50.034505	3.728129
50.034581	0
50.034657	0
50.034732	0
50.034808	0
50.041698	0
50.041773	0
50.041849	0
50.041925	0
50.042001	327.424631
50.042076	581.286624
50.042152	675.068454
50.042228	568.970507
50.042303	361.852917
50.042379	5.952151
50.042455	0
50.042531	0
50.042606	0
50.042682	0
50.053891	0
50.053966	0
50.054042	0
50.054118	0
50.054194	334.009063
50.054269	543.308633
50.054345	629.946782
50.054421	549.230402
50.054497	361.336698
50.054572	1.023083
50.054648	0
50.054724	0
50.0548	0
50.054875	0
50.066391	0
50.066467	0
50.066543	0
50.066619	0
50.066694	296.826113
50.06677	570.172917
50.066846	790.48034
50.066922	832.959707
50.066997	670.762071
50.067073	410.157707
50.067149	3.592169
50.067225	0
50.067301	0
50.067376	0
50.067452	0
50.079124	0
50.0792	0
50.079275	0
50.079351	0
50.079427	433.801162
50.079503	681.267832
50.079579	810.934765
50.079654	754.23589
50.07973	549.828072
50.079806	308.0278
50.079882	1.480953
50.079958	0
50.080034	0
50.080109	0
50.080185	0
50.084734	0
50.08481	0
50.084885	0
50.084961	0
50.085037	352.978852
50.085113	576.342308
50.085189	721.283855
50.085265	683.142704
50.08534	484.165847
50.085416	2.663355
50.085492	0
50.085568	0
50.085644	0
50.085719	0
50.116289	0
50.116364	0
50.11644	0
50.116516	0
50.116592	388.212152
50.116668	634.359845
50.116744	763.40219
50.11682	692.918371
50.116896	460.659415
50.116972	21.409909
50.117047	0
50.117123	0
50.117199	0
50.117275	0
50.117351	0
50.117427	0
50.117503	0
50.117579	0
50.117655	347.434826
50.11773	552.026724
50.117806	670.265285
50.117882	630.731809
50.117958	457.5337
50.118034	7.585875
50.11811	0
50.118186	0
50.118262	0
50.118338	0
50.122816	0
50.122891	0
50.122967	0
50.123043	0
50.123119	453.745889
50.123195	642.394963
50.123271	727.955061
50.123347	655.421577
50.123423	457.811321
50.123499	5.766604
50.123575	0
50.12365	0
50.123726	0
50.123802	0
50.131394	0
50.13147	0
50.131546	0
50.131621	0
50.131697	386.554087
50.131773	662.372879
50.131849	851.062564
50.131925	826.247444
50.132001	593.151787
50.132077	304.677503
50.132153	1.013873
50.132229	0
50.132305	0
50.132381	0
50.132457	0
50.148025	0
50.148101	0
50.148177	0
50.148253	0
50.148329	430.037512
50.148405	650.158916
50.148481	709.623205
50.148557	565.550711
50.148633	317.205965
50.148709	2.320201
50.148785	0
50.148861	0
50.148936	0
50.149012	0
50.168693	0
50.168769	0
50.168845	0
